city_name,active,anomaly,anomaly_pct,years_shown,src
"ירושלים",50307,7743,13.0,10,nadlan
"חיפה",43956,5802,12.0,10,nadlan
"תל אביב-יפו",41892,9133,18.0,10,nadlan
"באר שבע",35708,532,1.0,10,govmap
"פתח תקווה",32103,2486,7.0,10,nadlan
"אשקלון",29943,1787,6.0,10,nadlan
"ראשון לציון",27052,3059,10.0,10,nadlan
"נתניה",24556,2235,8.0,10,nadlan
"חולון",19785,1628,8.0,10,nadlan
"אשדוד",18969,680,3.0,10,govmap
"בני ברק",16649,1996,11.0,10,nadlan
"רחובות",15839,1594,9.0,10,nadlan
"קריית גת",15144,1015,6.0,10,nadlan
"בת ים",14652,298,2.0,10,govmap
"חדרה",14077,1678,11.0,10,nadlan
"רמת גן",13914,1379,9.0,10,nadlan
"בית שמש",11858,1424,11.0,10,nadlan
"אילת",11650,1106,9.0,10,nadlan
"עפולה",11496,361,3.0,10,govmap
"קריית אתא",11321,1008,8.0,10,nadlan
"מודיעין-מכבים-רעות",9958,152,2.0,10,govmap
"קריית מוצקין",9286,281,3.0,10,govmap
"נתיבות",9223,590,6.0,10,nadlan
"נהרייה",9102,385,4.0,10,govmap
"רמלה",8358,1188,12.0,10,nadlan
"טבריה",8136,571,7.0,10,govmap
"הרצליה",7978,361,4.0,10,govmap
"לוד",7815,580,7.0,10,govmap
"קריית ביאליק",7670,150,2.0,10,govmap
"קריית ים",7589,315,4.0,10,govmap
"ראש העין",7353,463,6.0,10,nadlan
"עכו",7187,764,10.0,10,govmap
"רעננה",7004,217,3.0,10,govmap
"יבנה",6663,185,3.0,10,nadlan
"דימונה",6466,577,8.0,10,govmap
"כפר סבא",6113,310,5.0,10,govmap
"גבעתיים",6023,333,5.0,10,govmap
"כרמיאל",5776,326,5.0,10,govmap
"באר יעקב",5259,472,8.0,10,govmap
"נשר",5027,240,5.0,10,govmap
"יהוד-מונוסון",4925,294,6.0,10,nadlan
"רמת השרון",4885,423,8.0,10,nadlan
"קריית מלאכי",4797,186,4.0,10,nadlan
"אור יהודה",4771,343,7.0,10,govmap
"מגדל העמק",4702,684,13.0,10,govmap
"אופקים",4656,886,16.0,10,govmap
"טירת כרמל",4579,254,5.0,10,govmap
"ערד",4564,235,5.0,10,nadlan
"צפת",4320,599,12.0,10,nadlan
"הוד השרון",4094,198,5.0,10,nadlan
"נס ציונה",4010,540,12.0,10,nadlan
"אור עקיבא",4005,448,10.0,10,govmap
"שדרות",3917,527,12.0,10,govmap
"נוף הגליל",3822,407,10.0,10,govmap
"קריית אונו",3803,295,7.0,10,govmap
"פרדס חנה-כרכור",3798,429,10.0,10,govmap
"גדרה",3099,440,12.0,10,nadlan
"בית שאן",3062,493,14.0,10,nadlan
"מעלה אדומים",2787,212,7.0,10,nadlan
"גבעת שמואל",2758,186,6.0,10,nadlan
"כפר יונה",2727,164,6.0,10,nadlan
"יקנעם עילית",2557,321,11.0,10,nadlan
"אלעד",2526,306,11.0,10,nadlan
"חריש",2518,188,7.0,8,nadlan
"מודיעין עילית",2487,234,9.0,10,nadlan
"קדימה-צורן",2199,123,5.0,10,nadlan
"גני תקווה",2116,163,7.0,10,nadlan
"מעלות-תרשיחא",2113,249,11.0,10,nadlan
"ביתר עילית",1941,135,7.0,10,nadlan
"קריית שמונה",1824,362,17.0,10,nadlan
"רכסים",1774,313,15.0,10,nadlan
"זכרון יעקב",1719,199,10.0,10,nadlan
"מבשרת ציון",1688,272,14.0,10,nadlan
"מזכרת בתיה",1638,87,5.0,10,nadlan
"שוהם",1590,26,2.0,10,govmap
"גן יבנה",1573,237,13.0,10,nadlan
"נצרת",1386,549,28.0,10,nadlan
"קריית טבעון",1296,254,16.0,10,nadlan
"קצרין",1212,373,24.0,10,nadlan
"עתלית",1093,166,13.0,10,nadlan
"אזור",1043,141,12.0,10,nadlan
"ירוחם",1033,118,10.0,10,nadlan
"שלומי",1019,80,7.0,10,nadlan
"תל מונד",950,182,16.0,10,nadlan
"גבעת זאב",818,62,7.0,5,nadlan
"צור הדסה",781,18,2.0,7,nadlan
"אבן יהודה",720,209,22.0,10,nadlan
"רמת ישי",720,63,8.0,10,nadlan
"בנימינה-גבעת עדה",651,64,9.0,4,nadlan
"עומר",594,54,8.0,10,nadlan
"אפרת",455,26,5.0,8,nadlan
"צור יצחק",438,14,3.0,4,nadlan
"כוכב יאיר",432,50,10.0,8,nadlan
"קריית יערים",427,28,6.0,9,nadlan
"קריית עקרון",418,72,15.0,10,nadlan
"אריאל",417,37,8.0,5,nadlan
"בית דגן",382,27,7.0,10,nadlan
"מיתר",359,33,8.0,6,nadlan
"חצור הגלילית",353,79,18.0,5,nadlan
"פרדסייה",350,25,7.0,9,nadlan
"אלפי מנשה",301,20,6.0,10,nadlan
"להבים",293,29,9.0,10,nadlan
"ג'סר א-זרקא",237,37,14.0,5,nadlan
"קרני שומרון",222,4,2.0,10,nadlan
"עין מאהל",217,5,2.0,7,nadlan
"אורנית",203,24,11.0,9,nadlan
"כפר מנדא",188,3,2.0,4,nadlan
"כפר יאסיף",165,6,4.0,8,nadlan
"אבו גוש",163,7,4.0,3,nadlan
"קריית ארבע",150,6,4.0,8,nadlan
"ריינה",109,7,6.0,6,nadlan
"יפיע",98,6,6.0,6,nadlan
"ג'דיידה-מכר",96,1,1.0,5,nadlan
"שפרעם",95,8,8.0,4,nadlan
"אום אל-פחם",66,1,1.0,1,nadlan
"באקה אל-גרביה",66,0,0.0,3,nadlan
"טייבה",46,0,0.0,0,nadlan
"כפר כנא",46,2,4.0,1,nadlan
"כפר קאסם",42,2,5.0,0,nadlan
"רהט",38,1,3.0,0,nadlan
"דאלית אל-כרמל",36,1,3.0,0,nadlan
"ג'ת",27,2,7.0,0,nadlan
"עספיא",27,1,4.0,0,nadlan
"כפר קרע",26,0,0.0,0,nadlan
"ג'לג'וליה",25,0,0.0,0,nadlan
"מגאר",25,0,0.0,0,nadlan
"עראבה",25,0,0.0,0,nadlan
"דייר חנא",23,1,4.0,1,nadlan
"דבורייה",22,2,8.0,1,nadlan
"פוריידיס",22,2,8.0,1,nadlan
"ראמה",22,0,0.0,0,nadlan
"מעלה עירון",21,1,5.0,0,nadlan
"סח'נין",21,0,0.0,0,nadlan
"דייר אל-אסד",20,2,9.0,1,nadlan
"אעבלין",19,4,17.0,1,nadlan
"אבו סנאן",18,2,10.0,0,nadlan
"טמרה",17,1,6.0,0,nadlan
"טירה",16,2,11.0,0,nadlan
"ירכא",16,0,0.0,0,nadlan
"משהד",15,4,21.0,0,nadlan
"בית ג'ן",14,0,0.0,0,nadlan
"אכסאל",12,0,0.0,0,nadlan
"כסרא-סמיע",12,0,0.0,0,nadlan
"מג'ד אל-כרום",12,0,0.0,0,nadlan
"נחף",11,1,8.0,0,nadlan
"עילוט",11,0,0.0,0,nadlan
"ערערה",11,1,8.0,0,nadlan
"שעב",11,0,0.0,0,nadlan
"בסמת טבעון",10,0,0.0,0,nadlan
"שגב-שלום",10,0,0.0,0,nadlan
"זמר",9,0,0.0,0,nadlan
"זרזיר",9,1,10.0,0,nadlan
"ערערה-בנגב",9,0,0.0,0,nadlan
"חורה",6,0,0.0,0,nadlan
"טובא-זנגרייה",6,0,0.0,0,nadlan
"טורעאן",6,0,0.0,0,nadlan
"קלנסווה",6,0,0.0,0,nadlan
"בענה",5,0,0.0,0,nadlan
"תל שבע",5,0,0.0,0,nadlan
